ನಾಲಗ್ ವರ್ಷಾದ ಮೇಲೆ ರೋಣಾ ಗೋವರ್ಮೆಂಟಿಗೆ ನಿವು ಸಾಲಾ ಕೊಡವ ರೇತಿ ಬಳದಿರತಿರಾ ನಿಮಗು ಸಬ್ಸಿಡಿ ಬರೆ ಕೊಡವೇಕ ಗೋವರ್ಮೆಂಟಿಗೆ. ಕವರ್ಷ್ಟೂರಿಗಿ ಸ್ವಾಗತಾ ನಾನು ವಿಜೆಲಕ್ಷಮಿಶಿ ಬರೋರು ಕಾಡುಗಳ್ಳ ವಿರಪ್ಪನ್ ಸತ್ತಾಗ ನಾವೆಲ್ಲಾ ನಿತ್ತಿಸರು ಬಿಟ್ವಿ ನಾಡಿನ ಗಂದದ ಗಿಡಗಳೆಲ್ಲಾ ಉಳುದುವಿ ನಾವು ನೆಮ್ಮದಿಯಂದ ಇದ್ದುವಿ ಆದರೆ ನಾಮ್ಮ ನೆಮ್ಮದಿಯನ್ನ ಕೆಳಿಸ ನಮ್ಮಲ್ಲಿ ಒಂದು ವಿಚಿತ್ರವಾದ ಮನವಿ ಮಾಡ್ಕೊಂಡುರು. ಅದೇನಂದ್ರೆ ಬೆಂಗಳೂರು ವಿಶ್ವವಿಧ್ಯಾನಿಲೆ ಆವರಣದಲ್ಲಿ ಕೋಟಿ ರುಪಾಯ್ ಶ್ರಿಗಂಧ ಲೂಟಿಯಾಗ್ತಿದೆ ನಮ್ಮ ಗ್ರಹಿಲಾಗಿಯ ಕಣ್ತಿರಿಸಿ ಅನ್ತ ಬೇಡಿಕೊಂಡುರು ಅವರ ಮನವಿಗೆ ಸ್ಪಂದಿಸಿದ ಕವರ್ ಸ್ಟೋರಿ ತಂಡ ಜಾನದೇಗುಳ ಜಾನಭಾರತಿ ಅತ್ತ ಪ್ರಯಾನ ಬಿಳಸಿಯೆ ಬಿಟಿತು ಮುಂಜಾವಿನ ಚುಮುಚ್ಚುಮು ಚಲಿಗೆ ವಿಸಿರಕ್ತದ ಪರಿಸರ ಪ್ರೇಮಿಗಳು ನಮ್ಮನ್ನ ಸ್ವಾಗತಿಸಿದ್ರು. ಪಹಳ ಉತ್ಸಾಧಿಂದ ಇದ್ದ ಅವರು ನಮ್ಮನು ವಿಶ್ವವಿಧ್ಯಾನಿಲೆಯದ ಕೆಂಪಸ್ ಸುತ್ತಾಡಿಸಿದ್ರು ಇಲ್ಲಿನ ಕಾಡು ಯಾವರಿತಿ ಕಸದ ತೊಟ್ಟಿಯಾಗ್ತಿದೆ ಪ್ಲಾಸ್ಟಿಕ್ ಬಳಕಿನಿ ಶೇಧಿಸಲಾಗಿದ್ರು ಮೈವಾಗಿದೆ. ಕಟ್ಟಡಗಳ ತ್ಯಾಜ್ಯವನ್ನ ಇಲ್ಲಿ ನಿರಾಸೆ ನಾನ ಬಹಾರತ್ಯಾ ಗಂಧದ ಗುಡಿಯಲ್ಲಗೆ

ಬಿಡಿತಕ್ಕನ್ನ ಗಿಡಗಳಿದವೆ, ಇವನ್ನು ಲಿಚ್ಚಿ, ಡ್ರಾಗನ್ ಪ್ರೂಟು, ಹಲ್ಸು, ಮಾವು, ತೆಂಗು, ಚಕೋತಾ, ನಲ್ಲಿ, ಕಾಡ್ನಲ್ಲಿ, ನಮ್ಮಲ್ಲಿರಿತಕ್ಕನ್ ಹುಷಿನು ಇವೇಲ್ಲಾವನ್ನ ಕ್ರುಷಿಯನ್ನ ಮಾಡವೇಕಂತಕ್ಕಂತ ರೈತಾ, ಯುವಿಕರು, ನೋಡುದರೆ, ಟ್ರೈನಿಂಗನು ಪಡುಕೊಳದರಿಂದ ಯೂಸಾಗತ ಸಿಕ್ರೆನ್ನ ವಾಗಿವಾಗೆ? ಎದಿ ವಿಂದು ದೇರುವಿತ್ತನು ಇದೆಯು ನಿವೆಧಿಂದು ಕೊಳಿದ್ದರೆ. ಇಳಿತಕ್ಕಂತ ದಿನಾದರೆ ಶೂನ್ಯ ಬಂಡುವಾಳೆ ಇಲಿದಿನಿ ಆವದೆ ತಗೊಳೆ ಆಯಿತ್ಪಿಸ ದುಡ್ಡಕೊಳ್ಡವಡಿ ಸರ್ಕಾರಾ ದುಡ್ಡಕೊಳ್ಡತಾಯಿತ್ತು ಕೊಳ್ಡತಾಯಿ ಮೆಂಟಿನಿನಸಿಕ್ಕೆ ಆಕ್ಕಿ ಹಂತರ ಇರ್ತದೆಲ್ಲವ ನಿರ್ಕಟ್ಕೊಳ್ಡು ಮಾರ್ಕೆಟಿಂಗ ವೆವಸ್ತೆ ಮಾಡ್ಕೊಳ್ಳದ್ದು ನಿವೆಸ್ಟೆ ಕ್ರುಷಿಮಾಡಿ ಫೇಲೂರು ಸಂಸಂಸಿ ಹೇವಿಸ್ತೆ ಆಪಂತಲ್ಲವ intention9 ಸನಿವು ಬಾದ್ದರಿ ಒಮಹೆ ಇವೆ ಪಡೀವಾನ ತಾಡ್ಧುವ ಮಿಷಾಸಿ ಲಿಸ್ಸಿಂಗೆ transient ech İs decay ಪ್ರತಿಯುಂದ ಪದ್ದತಿಕ್ಕು ಮರದಿಂದ ಹಂತರಾನು ದಿರತ್ತೆ ಪದ್ದಿಂದ ಇಧಿ ಪಾರ್ವಲಂಬಿ ಚಿಂದನಿಕ್ಕೆ ಆವದೇ ಅಂತಕ್ಕಾಂತದು ನಮಗಿ ಒಕ್ತಕ್ಕಾಂತದು ಟಿಂಬರ್ಗು ಹೋಯಲ್ಗು ಕಾಸ್ಟಲಿಸ್ತು ಹಾಯಿಲ್ಲು ತೆಗಿತಾದರ್ ವೇಡಿದರು ಕಾಯಿಸ್ತು ಕೊಡಿಸ್ತರಂತಾ ಕಾಯಿಸ್ತರಂತಾ ಕಾಸ್ಟಲಿಸ್ತರಂತಾ ಕಾಸ್ಟಲಿಸ್ತರಂತಾ. ಇರ್ವೇಕು. ಅಂಕೆಯಿಲಿ ಬೇಲಿಯಲ ಕಾಗಲಾ. ದೀವಾಯಾಗು ಸಾಬರಿಂದಿದೆ

ಪಾರಿಸ್ತು ಪಾರಿಸ್ತುತ್ತೆಯಿಂದು ನೀರ್ದು ಸಾಸಿಮಾನ್ನು ಕೊತ್ತೆಯಿಂದೆ. ವರಡಿ ಡಿಸ್ಟಂಸು. ಒಗು ನೋಡಿದರೆ ಅದೇರಿದಿನೆ. ಗಿಡಿದು ದೂರಾಯಿರಲ್ಲ. ಬೇಲಿವಳಗೆ ಮದ್ಧ ಅಗ್ರಿಕಳ್ಚ ಕ್ರಾಪ್ಸನು ಆತ್ವ ಆಯ್ಲ್ ಸಿಡಿಸು ನೇರ್ವೆಕರು ಮದ್ಧಿದಲ್ ಬಟ್ಟಿದು ಅದ್ನಿಂಟಿ ಪತ್ತ ವಿಷಾದ್ಮೆಲ್ಲ ಯೂದಯಬಾಸನು ಮತ್ವ ಪತ್ರ, ವಿಷಾದ್ಮಂಲ ಜೇರುಡೆ ಸಿಂಬವಾಗಾರೋಖ್ವಿಯನ್ನ Hund!! engers 후보 forcément union perpetual ಗುರ್ಡಸಿತ್ತುಪಲಾ.. ದೊನಿದವುನ್ನು ಬಳಿಯದುಲ್ಲlış.. ಗುಸ್ತುವಳಗೆ ಹೊಯದು ಶೆರ್ಕೆಸಾವರುದ್ದು. ಪೋಲ್ಸಾಗು ಇರುತ್ತೆ. ಅದಕ್ಕುಂದು ಕಮ್ಬಗುಳ್ಳನ್ನು ಅದಕ ಗಿಡಾಮರ್ಗುಳ್ಳಿದ್ದರೆನೆ ಸರ್ವೇವಾಗದು. ಮಾಸುರ್ ಗಂದನು ಅದಕ್ಕುಂದು. ಮಾಸುರ್ಳನ್ನು ಅದಕ್ಕುಂದು.. ಬನಿರುಗಟ ಉದ್ಯಾನವನದಲಿದ ಕಳ್ಳತನವಾಗಿದೆ ಆರೆಸ್ವೋ ಕಚ್ಚೇರಿ ಮುಣಿದ ಎತ್ತಾಕೊಂಡು ವಾಗಿದಾರೆ ರಾತ್ರು ಕಳ್ಳದು ಕದಿಮರು ಹೊತ್ತೋಯಿದು ಪಾರ್ಕ್ ಸಿಬಂದಿ ಅಧಿಕಾರಿಗಳನ್ನ ನಿಬರಗಾಗು ಕಾರಣಿರುವ ಹೆಸ್ವ ಸಿಬಂದಿಯ ಇಕ್ರತ್ಯವ ಸಗಿರುವ ಶಂಕೆಯಕ ವೆಕ್ತವಾಗಿರದು ನಾಶನಲ್ ಕೇಸು ದಾಖಲಸಿಕೊಂಡು ಪರಿಶಿಲನೆ ವರ್ಸೆ ಗೋಪಾಲ ನಿರ್ವಾಹಕ್ಕ ನಿರ್ದೆಶಕ್ಕರಾಗಿರುವನ್ನಾಹ ಅವರಿಗಾ ಸಂಪರ್ಕುತಲ್ಲಿದೆ ಶ್ರಿಗಂದು ದಮರ ಸಿಬಂದಿವಿಲನೆ ಶಂಕೆಯದನು ಸಿಕ್ತು ಯಾರಿತ್ತಿ ಸಿಬಂದಿವಿಲ್ಲ ನೀಡಿದೆ ಇಲ್ಲರೆ ಶೇಳಿವ ಸಿಪಂದಿ ಇಪ್ಪಾದಿದೆ

ಹಾಕ್ಕುತಡುದೆ ಬದ್ರತ್ತೆ ಇದ್ದಾಗಿಯು ಹೋಗಿರು ಬಹುದು ವೇವಸತ್ತರಿ ಇಲ್ಲಿಲ್ಲಿಲ್ಲಾ ಅಗದರೆ? ಒಪನ್ ಫಾರಸ್ಟಲ್ಲಿ ರೋಡು, ಇಸ್ಸು 65 ಏಕರ್ಸ್ ಏರ್ಯಾ, ಅಗಗಿ ನೋಣವಾಕ್ಕೆ ಎನುಂತಾ, ರೆಯಿಂದು ಮರನು ಇದ್ದಿಲ್ಲಿಲ್ಲಾ, ವಿದ ಅನುಮಾನ ಇದ್ದಿಯಾ ಅನಿಂಗೆಲ್ಲಾ? ನಮ್ದೆ ಆವದ ಅನುಮಾನೆಲ್ಲಾ. ಸಿಸಿಟಿವಿ ಕೆಮರಾಸ್ ಅವರ್ಥ ನಿಕ್ಕೆ ಮಾಡ್ತೆಯದರೆ, ಮಾರಿದಿ ಪುಣ್ಡಾದ ಪೊತ್ತಾಗತ್ತೆ. ಧನ್ಯವಾದ ಗೋಕುಳ್ಳವರೆ ನಮ್ಮಜತ್ತೆ ಮಾತ್ನಾಡಿದಕ್ಕಾಗೆ.. ಕ್ರಿಶಿಕರೆ ಕ್ರಿಶಿಲಿ ಸಾಧ್ಯಿಲ್ಲವಾ? ಕ್ರಿಶಿಕಾ ಆಗೋದೆಯಿಲ್ಲವಾ? ಬಿಳೆ? ಪಡಿದ್ದು. ಡಿಮೈಂಡಿದೆ. ಬೆಳಿತಿದೆ. ಮಾಡುವದು. ಅನ್ಕೊಂಡಿದಿರಾ. ಮಾಡಿ.. ವಿಬ್ಬನ್ನು. ಪ್ರಸ್ತಿನಿಯನ್ನು. ಸ್ರಿಗಂದದು ಪರಿಮಳಕೆ ಮೇಡಿಸನಲ್ ಬಾಲ್ಯು ಅವಷದಿಯ ಗುಣಾಯಿರುದುನ್ನು. ಪರಿಮಳಾಯರುದುನ್ನು. ದಿರುವೆಗಳಿಗು ಬಳಿಕೆಗತೆ. ಸ್ಪೆಶಾಲಿಟಿ ಸ್ಪೆಶಾಲಿಟಿ. ಬಳಿಕೆಗಳಿಗು ಆರ್ಲಕ್ಷದ್ದು ಮೇಲ್ಪಟ್ಟು ಸೆಸಿ ಬೆಳ್ಸಿ ನಟ್ಟಿದುವಿ ಜೆನ್ರಗುನು ಎಲ್ಲಿಬೆಡಿತೆರ್ತು. ನಾನ್ನಾಂಚಿಕೆಲ್ಲಿ ಇಗಾರು ಆರ್ಲಕ್ಷನೆ ಬೆಳ್ಸಿದು. ವರ್ಷಕೆ ಹೇಚ್ಚಿನ ಸಂಕೆಲ್ಲಿ ಬಳಸಲುಕೆ ಇಲ್ಲಾಕೆ ನಾಗರಾಜವರೆ ಮಾಡವೇಕೊಂತೆಡಿ? ಸಾರಿಗೆ ಯಾವರೀತ್ತಿ ಮಣ್ಣದಕ್ಕೆ ಸೋಕ್ತಾಂತಿದೆ? ಚಿತ್ರದುರ್ಗದಿಂದ ಕಿರಣ್ಣವರು ಕರೆಮಾಡಿದರೆ? ಸಾವಳು ಸೂಟಬುಲ್ಲಾಲ್ಲಾ? ಸೂಟಬುಲ್ಲಾಲ್ಲಿ ಚಿತ್ರದುರ್ಗದಿಂದರೆ? ಕರೆಮಾಡಿಂದರೆ? ಸೂಟಬುಲ್ಲಿ ಸಮರ್ತವರೆ ನಮಸ್ಕರ ಪ್ರಿಸ್ತಂವರ್ಣ್ಱು

ನಮರದುಿ .. ಸಚ್ಟ dernière ನಮರದುದ ಮಿನಿಸಯನಂ ವಾಳದನದಾಗಳ್ಳನಿಂದರೆ.. ..ವಹಿತ್ತ ಅಕ್ಕಾಡಿ ಉದ್ದನಲ್ಲಗೆ ಪರಿಯಾರಾಕೆ ಬಲದ್ಮಲ್ಲ ಮಾಡಲ್ಲಿಕ್ಕೆ ತವಿತ್ತುಕೊಳುವಿಕಾಗುತ್ತೆ? ಸಂವರಾಲ್ಲಿ ಬೆಲ್ದಿಸ್ತುಕೊಳುವಾರ್ತ ಬರಿಕೆಡು ಕೆಲೋರು ಬಾಲಾ ನಮ್ಮರ್ಸ್ ಪರ್ದೇಶತಲ್ಲಿ ಬಳದ್ದವರ್ದೆ? ಇಶ್ಯು ಎನ್ನದರೆ ಬಳು ನಲ್ಲು ಹೊರ್ಗಡ ಸಿಕ್ತುದೆ ಆದು. ಬಾಂಕ್ ಲಾಕರವಲ್ಲಿ ಅಮ್ಮಲೆವಾದ್ದ ವಸ್ತುವನು ಇಟ್ಟುಬಿಟಿದಿದಿವೆ. ಅಮ್ಮಿ ಫಾರಸ್ಟಿರಿಯೆ ಹೊರ್ಗಳೆ ಕಾಯವೇಕು. ಕಲ್ವುಡು ಕಾಮ್ಪೋಣ್ಡ ಕಗತ್ತೆ ಬೇಲಿ ಇರಿತ್ತೆ ಕರಮುಗಳು. ಅರಣಿಯ ಲಾಕೆಯನ್ನು ಬೇಲ್ಸ್ ತಿವೆ ಪೆಂಸ್ ಹಾಕ್ತಿವೆ ಚೇನ್ಲಿಂಗ್ ಮೆಶ್ ಪ್ರಮಾಣದೆ ಅನ್ನೂರೆ ಎಕ್ಟೆಯರ್ಹಾಗೆ ಗಿ ನುಂಗು ಹಾಕ್ಬೋದು ಮಾರ್ತಾಯಿದ್ದಿವೆ ಎನೆನು ಮೆಶ್ಯರ್ಸ್ ಕರ್ಮಗಳನು ತೊಳಗಕೊಂಟಾಯದಿದಿ ಸೆಂಡಲ್ ಗವರ್ಮೆನ್ಟ್ ಅಶಕ್ತಿ ಇಂಟರೆಸ್ಟು ತೊರ್ಸಿದಾರೆ ಬಂದಿದಾರೆ ಮಾಡಿದಿದು ನೋಡಿದಾರೆ ಜೊತೆ ಎಹೆಗೆ ಬೆಲ್ಸಿ ಅರುನಾ ಅಗಿಲ್ಲಿ ಆಗಸ್ಟು ಬಂದಿದಿದೆ ಮಾಲೆ ಯಾರ್ಗಿಯರ್ಕು ಬೇಡಿಕೆ ತಗಾಂಡು ಹೋಗ್ಗಿಟ್ಟಿದಾರೆ ಪ್ರೋತ್ಸಾಯ ಬೆಳಿಗಳಲ್ಲಿ ರುತ್ತು ಬಲಿಬಾದು ತೆಲಿಗಿತ್ತಾವು ಎಲ್ಲತ್ತಾಯದರೆ ಇಸ್ರಿಗಾಂದೆವನ್ನು ಕೆಲೋವರು ಪಪ್ಪಾಯಾ ಬಿಳಸ್ತಾಯದರೆ ನಾನ್ನೋಡಿದಿಂ ಕೋಲಾರಲ್ಲಿ ಮಾವು ಅಮೆಲೆ ನಾಹೆಲು ಶೆಷ್ವಿಯಾಗಿ ತರ್ಕರಿ

ಬೆಳುವಯೆಸ್ತಾಯದಿ. ಸುವಿರ ರಶ್ಮಿಗೆ ಕೋಮ್ಪಿಟಿಶನ್ನಾಗತುಂ ತೊಂದರೆ ಲಕ್ಕದಲ್ಲಿ ಅಲ್ಟರಿನೆಟ್ ರೋಸಲ್ಲಿ ನಡತಿವಿ ಹಾರೋವೇಸ್ಟ ಮಾಡವಾದು ಕರಕುಂಸಿಕುಷಲ ಕರನಡಕಾ ಸರ್ಕರ ನಿಗಿದಿಪ್ಪಡಿಸಿದ ದರದಲ್ಲಿ ಕೊಂಟ್ಟುಕೊಳ್ಳತರೆ ವಿಚಾರದಲ್ಲಿ ಪ್ರೈತ್ನ ಮಾಡತ್ತಾಯದಿವಿ ಕಲವ ಹಳ್ಳಿಗಳಲ್ಲಿ ಸಾಮೋಕವಾಗಿ ನೆಡಿವದಕ್ಕೆ ಪ್ರೈತ್ತನ ನಟ್ಟಿದಿವಿ ಮಾಡತ್ತಾಯದಿವಿ. ಪುಷ್ಪಾ ಸಿನಿಮಾ ಚಂದನ್ನ ವಿವಹಾರದ್ದ ಗೊತ್ತಿರುಬುಹುದು. ನೋಡಿದಸ್ಟು ಸಿಂಪಲ್ಲಲ್ಲಾ ದೊಡದು. ಹಿಗಾಗಿ ಭಯಾನೆ ದಾದ್ಯಂತ ಬೇಡಿಯೋದಕ್ಕೆ ಸಾಧ ಕೆಮ್ಪು ಬಣ್ಣದ ಚಿಕ್ಕಪಿಸ್ ಸಿಕ್ಕಿದ್ರು ಸಾಉಂದರ್ಯ ತ್ವಾಚೆ ವಿಧಗಳಲ್ಲಿ ಜನರು ಬಳಸ್ತಾರೆ. ಬೇಡಿಯೋರು ಇದಾರೆ. ವಿಶ್ವದಾದ್ಯಂತ ಚಂದನಕ್ಕೆ ಬೇಡಿಕೆಯಿದ. ಚಂದನನ್ನ ಬೇಡಿಯಾಬಗ್ಗೆ ಗೊತ್ತಿರದ ಅಲ್ಮುಗ ಸಾಂಡರ್ಹೂಡ್ ವೂಡ್ ಹೇಸ್ರುಗಳಿಂದ ಕರಿತಾರೆ. ಗುಣಗಳೆ ಎನಿಂಗುತ್ ಹೇಸ್ರುಗಳೆ ಕೇತ್ತನೆ ಪಿಟ್ಟೋ ಪಕ್ರಣಗಳನ್ನ ಮಾಡೋದಕೆ ಅಲಂಕಾರಿಕ ಕಂಬಗಳಿಗಾಗಿ ಮನೆಯ ಆಂತರಿಕ ವಿನ್ಯಾಸದಲ್ಲಿ ಕೇತ್ಟೆ ಸುತ್ತಾರಿಗಿಗಿಗದ್ದು ಕೇಪ್ಪು ಚಂದನವತ್ತನ್ನು ನಿರಿವಾಗಳುಲ್ಲಿ ಪೆನ್ನೆ ಪಿಳಿಗಿಗಿದ್ದು. ಚಂದನವನ್ನು ಬಳಿಯಾತ್ತರದಲ್ಲಿ ನಿದವಾಗಿದು. ಶುಷ್ಕ ಬಿಸಿ ವಾತಾವರಣದಲ್ಲಿ ಚನ್ನಾಗಿ ಬಳಿಯತ್ತೆ. ಎಲ್ಲಬೇಕಾದರು ಚಂದನವನ್ನನ್ನ ಭೂಮಿಯನ್ನ ಆಗಾಗ ಅಗೆತಮಾಡಿ ಮಿಟರ್ 45 ಸೆಂಟಿಮಿಟರ್ ನಲ್ವತಾಯಿದು ರಂದರಗಳನ್ನ ಅಗೆಯಲಾಗತ್ತೆ.

ಬಿತ್ತಲು ಮೇಯಿಂದ ಜೂನ್ ಸೂಕ್ತ ಆಗಿದೆ. ನೆಟ್ಟ ತಕ್ಷಣ ನಿರುಣಿಸಲಾಗತ್ತೆ. ಹವಾಮಾನ ಪರಿಸ್ಥಿತಿಗಳಿಗ ಅನುಗು ನಿಧಾನ ಸರಿಯಾದ ದಪ್ಪಾಗ್ಬೇಕುಂದರೆ ದಶಕಗಳೆ ಬೇಕಾಗತ್ತೆ. 150 ಎಪ್ಪತಾಯು ಸಂಟಿಮಿಟರ್ ಎತ್ತರಕ್ಕೆ ಬೇಳಿಯು ಮರಾ. ಕಾಂಡದುಂದಿಗೆ ಒಂಬತ್ತ ಕಾಂಡದ ಮಧ್ಯಬಾಗದಲ್ಲಿರೋ ತಿರುಳನ್ನ ಆವ್ಷದಿಯಾಗಿ ಜಿರ್ಣಾಂಗ ವಿಯುಹದ ಸಮಸ್ಯಗಳು ಕೆಂಮಿಗೆ ಚಿಕಿತ್ಸೆ ನಿಡುದಕು ಮಾರಿ ಡಿಮೈಂಡಿರೋದು.. ಅರಣ್ಯದ್ದಮೇಲೆ ಮಲೇಶವರ ದೂರಾಯಿಲ್ಲಾನ್ತಾರೆ ಡಿಯಾಫೋ ಚಂದ್ರಶೆಕ್ಕರ್ ನಾಯಕವರನ್ನ ಕೇಳಿದ್ರೆ ತಮಿಳ್ಣಾಡು ಮೊಳದ ಗುಂಪಂದು ಜೋಗಿಮಟ್ಟಿಯಲ್ಲಿ ಬಿಡಾರ ಹೂಡಿ ಮರಗಳತನದಲ ಉಳುದಿರೋನ್ನ ಬಿರೆಗೊಳ್ಳನ್ನ ಹೊಳ್ಳಾಗೊಳ್ಳಿದ್ದರೆ ಸಿಗೆಮ್ಬಿತ್ತಿದ್ದರು ರುಪ್ಪ ಪೇಟ್ರೆಲ್ಲಿಂಗು ಜಾಸ್ಟಿದೆ ನಮ್ಮಲ್ಲೆ ವಾಚರ್ಸು ಹಿಚ್ಚಿನlung ಸಂಗಿವುಳ್ಳು ಗೆರ್ರೆ ವತ್ಟರೆಯಾಗಿ ಲಾಖ್ಯಾ ಗಮನಹರಿಸ್ವೇಕಿದೆ. ಗರಮಕೊಯಗೊಳ್ಬೇಕಿದೆ ಪ್ರಿಯರದ್ದು.. ಅರಂಡಿಯಾ ಪ್ರಾರಂಬ ಪಾರಂಬು ಪಾರಾಣಾಯಿಲ್ಲು ಸಿರೀಗಂದಾ ಹಾಕ್ಯಿದಿವೆ. ಸ್ರಿಗಂದಿಕ್ಕೆ ಸಪೋಟಾಗಿ ಅರೆಣೆ ಕ್ರುಷಿಯಲ್ಲಿ ಟಿಕು, ಒನ್ನಿ, ಮಹಾಗನಿ ನಿಮ್ಬೇ ಹಾಕಿದಿವೆ, ಅಮಲ್ಲಿ ಸಿಬೇ ಹಾಕಿದಿವೆ ಅಲ್ಲಲ್ಲಿ. ನಮ್ಮಗದರಲ್ಲಿ ಒನ್ನದೆನ ತೆಗಿತಿವೆ, ಅವಧ್ಯೇಶಿ ಮಾರಗಳು ಎಸ್ಪೇಶಿಲಿ ಲಾಂಡಿದೆ ಆಂದರ್ಪ್ರದೇಶಿದಿಂದ ಕರ್ಣಾಟಕಿದ ಬಾಡ್ರುಗಳು ಮೈಸುರು ಇರಿಯಾಲ್ಲಿ ಚಾಮರಾಜಿ ನಗ್ರ

ಕೋಲ ಮಾಳಗಳು ನಿರೋಡಿಸ್ತುಂತಿವು ಕಸ್ಟ ಬಿಳ್ಳು ಬೇಕಾಗತ್ತೆ ನಿದಾನುವಾಗಿ ಅದರ್ಪಲ ಸಿಕ್ಕತ್ತೆ ಬೇಕಾಗಲಾ ಕೊಡುಬೋದು ಕಾಮ್ಪ್ಲೇಕ್ಸು ಬೇಕಾಗದಿಲ್ಲ ಬೇಕಾಗದರು ಹಾಕ್ಕು ಇವಗ ವಾತಾವರಣಗು ಕೆಲುವರು ಹತ್ವು ರುಷಿಕ್ಕೆ ಎಲ್ಲಿಕೆ ಸಿಕ್ಕದರು ನಾಲಕ್ನೆ ವರಶಿದಿಂದ ಆಯಿಲ್ಲು ಸ್ಟಾಟಾಗಿದಿದ್ದ ತೋಟದಲ್ಲೆ ಮಾಡಿರುವಾಂತದು. ಕಟಾವಗೆ. ಅತ್ತರ್ಷಿಕು ಅಧ್ನಿದ ಬರತ್ತೆ. ಡಿಫರಿಂಸೆದರೆ. ಎನನ್ನರೆ ಅಧ್ನರಶಿಕು ಆದ್ದ ಸೇಗ್ಸಿಗು ನಿಮಗೆ. ಅದ್ನರಶಿಕು ಹಾತ್ ಅನ್ನಿದ ಇಪ್ಪೆತ್ ಬರಬೋದು. ಅಮರ ಬೆಳವನಿಗೆ ಎಂಗಿದೆ ನಿವಾದನು ಮಾಡಿದಿರ ನೋಡ್ಕನ್ನು ಮಾತಾಡನ್ನಲ್ಲ. ಇರ್ತದಲ್ಲ. ಸಮ್ಮನೆ ಇಯಳ್ತರೆ ಮಾಡಪೋದು ಮಾಡವೋದು. ಅವಿತುಂ ಷಿದು ಮಾಡವೇತು. ಮಾಡಪೊದು ಮುದುನ್ನು ಹೆವನ್ನು ರೀರೆ ಸಂಸ್ತೆಗಳು ಹೊಳು ಮುದುದು ಭಾಸಿಂದು ಹೊಲ ಈ.. ಬಾಗಿದ ಸಿಷಿದುತ್ತಾ ಶೇಗು. ಮೇಸು ಸುಬರ್ ವರ್ಷತಿಂದ ಬಿಳಿತಾಯದೆವೆ ಹನ್ನೂದ ಬಿಳಿತಾಯದೆ ನರ್ಷರಿಲ್ಲ ತಾಗಮಂದಿದಿದಿದನ ಸುಮರ್ವು ಮೋದರ್ಪಕೊಟ್ತನಿದಿದಿವೆ ದಗಳ سಂಸಮಿ. ಶಿಗಂದರ್ವುತ್ತರ ಭಟ ನರ್ಷರಿ. ಹರು ಬಳಿವರ್ಷಿದದ ನಟಗಳ ಮರ್ತಾಯದಾರೆ. ಪ್ಪಾರಕೆestensತರು ನಳ್ಷರಿಯಡೆದೆ? ಅರುಗ ಮಾಲಾವರ್ಸುತ್ತಿಂದೆ ಮರ್ತೆದಾರೆ ಅಪ್ಪಾರುಷ್ಟಲ್ಲು ಬಳಿತಾರೆ ಪಾರುಷ್ಟಲ್ಲು ಸಬ್ಸಜಿಸ್ತಂದು ಹಾಕ್ಕಿದಿವಿ

